region,state,city,park,launch_tier,likely_subsites,review_status
Northeast,ME,Portland,Eastern Promenade,anchor,yes,candidate
Northeast,ME,Portland,Deering Oaks Park,supporting,yes,candidate
Northeast,NH,Manchester,Livingston Park,anchor,yes,candidate
Northeast,VT,Burlington,Waterfront Park,anchor,yes,candidate
Northeast,VT,Burlington,Oakledge Park,supporting,yes,candidate
Northeast,MA,Boston,Boston Common,anchor,yes,ready
Northeast,MA,Boston,Public Garden,anchor,yes,ready
Northeast,MA,Boston,Franklin Park,anchor,yes,ready
Northeast,MA,Boston,Charles River Esplanade,anchor,yes,ready
Northeast,MA,Boston,Arnold Arboretum,anchor,yes,ready
Northeast,MA,Boston,Castle Island,anchor,yes,ready
Northeast,MA,Boston,Rose Fitzgerald Kennedy Greenway,anchor,yes,ready
Northeast,MA,Boston,Jamaica Pond,anchor,yes,ready
Northeast,RI,Providence,Roger Williams Park,anchor,yes,candidate
Northeast,RI,Providence,India Point Park,supporting,yes,candidate
Northeast,CT,Hartford,Bushnell Park,anchor,yes,candidate
Northeast,CT,Hartford,Elizabeth Park,supporting,yes,candidate
Northeast,CT,New Haven,East Rock Park,anchor,yes,candidate
Northeast,CT,New Haven,Lighthouse Point Park,supporting,yes,candidate
Northeast,NY,New York City,Central Park,anchor,yes,candidate
Northeast,NY,New York City,Prospect Park,supporting,yes,candidate
Northeast,NY,New York City,Flushing Meadows Corona Park,supporting,yes,candidate
Northeast,NY,New York City,The High Line,supporting,yes,candidate
Northeast,NY,New York City,Brooklyn Bridge Park,anchor,yes,candidate
Northeast,NY,New York City,Hudson River Park,anchor,yes,candidate
Northeast,NY,New York City,The Battery,supporting,yes,candidate
Northeast,NY,New York City,Bryant Park,supporting,yes,candidate
Northeast,NY,New York City,Governors Island,anchor,yes,candidate
Northeast,NY,New York City,Riverside Park,anchor,yes,candidate
Northeast,NY,Buffalo,Delaware Park,anchor,yes,candidate
Northeast,NY,Buffalo,Outer Harbor and Lakeside Complex,supporting,yes,candidate
Northeast,NY,Rochester,Highland Park,anchor,yes,candidate
Northeast,NY,Rochester,Genesee Valley Park,supporting,yes,candidate
Northeast,NY,Albany,Washington Park,anchor,yes,candidate
Northeast,NY,Albany,Corning Preserve,supporting,yes,candidate
Northeast,NJ,Newark,Branch Brook Park,anchor,yes,candidate
Northeast,NJ,Newark,Weequahic Park,supporting,yes,candidate
Northeast,NJ,Jersey City,Liberty State Park,anchor,yes,candidate
Northeast,NJ,Jersey City,Lincoln Park,supporting,yes,candidate
Northeast,PA,Philadelphia,Fairmount Park,anchor,yes,candidate
Northeast,PA,Philadelphia,Wissahickon Valley Park,anchor,yes,candidate
Northeast,PA,Philadelphia,Dilworth Park,anchor,yes,candidate
Northeast,PA,Philadelphia,FDR Park,anchor,yes,candidate
Northeast,PA,Philadelphia,Rittenhouse Square,anchor,yes,candidate
Northeast,PA,Philadelphia,Franklin Square,anchor,yes,candidate
Northeast,PA,Philadelphia,Schuylkill Banks,anchor,yes,candidate
Northeast,PA,Philadelphia,Spruce Street Harbor Park,anchor,yes,candidate
Northeast,PA,Philadelphia,Independence National Historical Park,anchor,yes,candidate
Northeast,PA,Pittsburgh,Schenley Park,anchor,yes,super-enriched
Northeast,PA,Pittsburgh,Frick Park,anchor,yes,super-enriched
