place_type,id,name,legal_name,primary_county,all_counties,district,population_2024,rollout_wave,target_depth,status,existing_listing_count,latitude,longitude
municipality,nc-raleigh,Raleigh,Raleigh city,Wake,Durham; Wake,6,498975,0,full-buildout-complete,full-buildout-complete,73,35.8323323576,-78.642941089
municipality,nc-charlotte,Charlotte,Charlotte city,Mecklenburg,Mecklenburg,8,944742,1,full-buildout,seeded,6,35.2082992899,-80.8303105896
municipality,nc-greensboro,Greensboro,Greensboro city,Guilford,Guilford,9,306749,1,full-buildout,seeded,9,36.0956163086,-79.8270882692
municipality,nc-durham,Durham,Durham city,Durham,Durham; Orange; Wake,6,300467,1,full-buildout,seeded,7,35.9792246256,-78.9022502586
municipality,nc-winston-salem,Winston-Salem,Winston-Salem city,Forsyth,Forsyth,9,259045,1,full-buildout,seeded,7,36.1029010504,-80.2610364877
municipality,nc-fayetteville,Fayetteville,Fayetteville city,Cumberland,Cumberland,7,211756,1,full-buildout,seeded,5,35.0849049832,-78.9771910256
municipality,nc-cary,Cary,Cary town,Wake,Chatham; Durham; Wake,6,182969,1,full-buildout,seeded,6,35.781789147,-78.8193495533
municipality,nc-wilmington,Wilmington,Wilmington city,New hanover,New Hanover; New hanover,,126256,1,full-buildout,seeded,6,34.2099731978,-77.8866653293
municipality,nc-concord,Concord,Concord city,Cabarrus,Cabarrus,8,115053,1,full-buildout,seeded,6,35.3932713953,-80.6367847026
municipality,nc-high-point,High Point,High Point city,Guilford,Davidson; Forsyth; Guilford; Randolph,9,109941,1,full-buildout,seeded,5,35.9909275366,-79.9936840211
municipality,nc-asheville,Asheville,Asheville city,Buncombe,Buncombe; Henderson,12,98270,2,major-and-intermediate-public-sites,seeded,1,35.5706235311,-82.5537151869
municipality,nc-greenville,Greenville,Greenville city,Pitt,Pitt,4,96899,2,major-and-intermediate-public-sites,not-started,0,35.5942921259,-77.3760215623
municipality,nc-gastonia,Gastonia,Gastonia city,Gaston,Gaston,11,85636,2,major-and-intermediate-public-sites,not-started,0,35.249337518,-81.1853589085
municipality,nc-apex,Apex,Apex town,Wake,Chatham; Wake,6,75019,2,major-and-intermediate-public-sites,not-started,0,35.7237931805,-78.8743479865
municipality,nc-jacksonville,Jacksonville,Jacksonville city,Onslow,Onslow,2,73494,2,major-and-intermediate-public-sites,not-started,0,34.7288481358,-77.3940729415
municipality,nc-huntersville,Huntersville,Huntersville town,Mecklenburg,Mecklenburg,8,66955,2,major-and-intermediate-public-sites,not-started,0,35.4060457391,-80.8716071182
municipality,nc-chapel-hill,Chapel Hill,Chapel Hill town,Orange,Durham; Orange,6,61827,2,major-and-intermediate-public-sites,not-started,0,35.9270610583,-79.0390575506
municipality,nc-burlington,Burlington,Burlington city,Alamance,Alamance; Guilford,6,59504,2,major-and-intermediate-public-sites,not-started,0,36.0761114366,-79.4683963355
municipality,nc-mooresville,Mooresville,Mooresville town,Iredell,Iredell,10,59494,2,major-and-intermediate-public-sites,not-started,0,35.5847912375,-80.8266847991
municipality,nc-wake-forest,Wake Forest,Wake Forest town,Wake,Franklin; Wake,6,56540,2,major-and-intermediate-public-sites,not-started,0,35.9631601193,-78.51400121
municipality,nc-wilson,Wilson,Wilson city,Wilson,Wilson,4,49666,2,major-and-intermediate-public-sites,not-started,0,35.7311136904,-77.9283790136
municipality,nc-holly-springs,Holly Springs,Holly Springs town,Wake,Wake,6,49039,2,major-and-intermediate-public-sites,not-started,0,35.6525849523,-78.8400153596
municipality,nc-kannapolis,Kannapolis,Kannapolis city,Cabarrus,Cabarrus; Rowan,8,47775,2,major-and-intermediate-public-sites,not-started,0,35.4763752882,-80.6407372095
municipality,nc-hickory,Hickory,Hickory city,Catawba,Burke; Caldwell; Catawba,11,45900,2,major-and-intermediate-public-sites,not-started,0,35.7410521939,-81.3223546992
municipality,nc-indian-trail,Indian Trail,Indian Trail town,Union,Union,8,45030,2,major-and-intermediate-public-sites,not-started,0,35.0698435558,-80.6452825468
municipality,nc-fuquay-varina,Fuquay-Varina,Fuquay-Varina town,Wake,Harnett; Wake,6,44237,2,major-and-intermediate-public-sites,not-started,0,35.5954219622,-78.7777054421
municipality,nc-rocky-mount,Rocky Mount,Rocky Mount city,Nash,Edgecombe; Nash,5,40655,2,major-and-intermediate-public-sites,not-started,0,35.9684709854,-77.8039534844
municipality,nc-monroe,Monroe,Monroe city,Union,Union,8,39256,2,major-and-intermediate-public-sites,not-started,0,35.006238243,-80.559481372
municipality,nc-garner,Garner,Garner town,Wake,Wake,6,38509,2,major-and-intermediate-public-sites,not-started,0,35.6936035245,-78.6181360214
municipality,nc-salisbury,Salisbury,Salisbury city,Rowan,Rowan,9,38202,2,major-and-intermediate-public-sites,not-started,0,35.6657284468,-80.4903911413
municipality,nc-new-bern,New Bern,New Bern city,Craven,Craven,2,35266,2,major-and-intermediate-public-sites,not-started,0,35.0958847117,-77.072118689
municipality,nc-goldsboro,Goldsboro,Goldsboro city,Wayne,Wayne,4,35130,2,major-and-intermediate-public-sites,not-started,0,35.3777856204,-77.9718047408
municipality,nc-morrisville,Morrisville,Morrisville town,Wake,Durham; Wake,6,33784,2,major-and-intermediate-public-sites,not-started,0,35.8367057698,-78.8347795016
municipality,nc-leland,Leland,Leland town,Brunswick,Brunswick,3,33065,2,major-and-intermediate-public-sites,not-started,0,34.2042420821,-78.0279829345
municipality,nc-sanford,Sanford,Sanford city,Lee,Lee,7,32813,2,major-and-intermediate-public-sites,not-started,0,35.4874721118,-79.1770603919
municipality,nc-cornelius,Cornelius,Cornelius town,Mecklenburg,Mecklenburg,8,32632,2,major-and-intermediate-public-sites,not-started,0,35.4723998808,-80.8813488483
municipality,nc-statesville,Statesville,Statesville city,Iredell,Iredell,10,31537,2,major-and-intermediate-public-sites,not-started,0,35.7841939624,-80.8711969184
municipality,nc-clayton,Clayton,Clayton town,Johnston,Johnston; Wake,4,31312,2,major-and-intermediate-public-sites,not-started,0,35.6590646033,-78.4498289701
municipality,nc-matthews,Matthews,Matthews town,Mecklenburg,Mecklenburg,8,30761,2,major-and-intermediate-public-sites,not-started,0,35.1195155643,-80.7100998027
municipality,nc-mint-hill,Mint Hill,Mint Hill town,Mecklenburg,Mecklenburg; Union,8,28761,2,major-and-intermediate-public-sites,not-started,0,35.1782986515,-80.6527233335
municipality,nc-asheboro,Asheboro,Asheboro city,Randolph,Randolph,9,28051,2,major-and-intermediate-public-sites,not-started,0,35.7157870325,-79.8127060642
municipality,nc-kernersville,Kernersville,Kernersville town,Forsyth,Forsyth; Guilford,9,27759,2,major-and-intermediate-public-sites,not-started,0,36.1064102368,-80.0843068839
municipality,nc-thomasville,Thomasville,Thomasville city,Davidson,Davidson; Randolph,9,27474,2,major-and-intermediate-public-sites,not-started,0,35.8812747571,-80.0806989675
municipality,nc-waxhaw,Waxhaw,Waxhaw town,Union,Union,8,24135,3,major-local-destinations-first,not-started,0,34.9363948608,-80.7438741653
municipality,nc-knightdale,Knightdale,Knightdale town,Wake,Wake,6,22680,3,major-local-destinations-first,not-started,0,35.7911245877,-78.4965467006
municipality,nc-shelby,Shelby,Shelby city,Cleveland,Cleveland,11,22168,3,major-local-destinations-first,not-started,0,35.290361232,-81.5450609329
municipality,nc-clemmons,Clemmons,Clemmons village,Forsyth,Forsyth,9,21857,3,major-local-destinations-first,seeded,1,36.0318826878,-80.3860997836
municipality,nc-carrboro,Carrboro,Carrboro town,Orange,Orange,6,21494,3,major-local-destinations-first,not-started,0,35.9259734975,-79.0877758642
municipality,nc-harrisburg,Harrisburg,Harrisburg town,Cabarrus,Cabarrus,8,21358,3,major-local-destinations-first,not-started,0,35.3124637385,-80.6485243849
municipality,nc-graham,Graham,Graham city,Alamance,Alamance,6,20933,3,major-local-destinations-first,not-started,0,36.0589049509,-79.3895299715
municipality,nc-boone,Boone,Boone town,Watauga,Watauga,10,20589,3,major-local-destinations-first,not-started,0,36.2111292565,-81.6669396752
municipality,nc-lexington,Lexington,Lexington city,Davidson,Davidson,9,20256,3,major-local-destinations-first,not-started,0,35.8017585016,-80.268197558
municipality,nc-mount-holly,Mount Holly,Mount Holly city,Gaston,Gaston,11,19812,3,major-local-destinations-first,not-started,0,35.313653664,-81.0072569375
municipality,nc-elizabeth-city,Elizabeth City,Elizabeth City city,Pasquotank,Camden; Pasquotank,1,19766,3,major-local-destinations-first,not-started,0,36.2942731857,-76.2360904053
municipality,nc-kinston,Kinston,Kinston city,Lenoir,Lenoir,4,19490,3,major-local-destinations-first,not-started,0,35.274723012,-77.5940574078
municipality,nc-lumberton,Lumberton,Lumberton city,Robeson,Robeson,7,19451,3,major-local-destinations-first,not-started,0,34.6312045663,-79.0186132941
municipality,nc-pinehurst,Pinehurst,Pinehurst village,Moore,Moore,7,19364,3,major-local-destinations-first,not-started,0,35.1922410497,-79.4683699252
municipality,nc-lenoir,Lenoir,Lenoir city,Caldwell,Caldwell,10,18814,3,major-local-destinations-first,not-started,0,35.9094426683,-81.52485761
municipality,nc-hope-mills,Hope Mills,Hope Mills town,Cumberland,Cumberland,7,18317,3,major-local-destinations-first,not-started,0,34.9708406855,-78.959495528
municipality,nc-morganton,Morganton,Morganton city,Burke,Burke,11,18204,3,major-local-destinations-first,not-started,0,35.7408360925,-81.7003492631
